start	end	text
0	24520	You're listening to the Modern Web Podcast.
24520	30320	For more podcasts, videos, and events, find us online at modern-web.org or follow us
30320	35960	on Twitter at modern.web, that's M-O-D-E-R-N-D-O-T-W-E-B.
35960	39960	Hello, everybody, and welcome to the Modern Web Podcast.
39960	42720	My name is Rob O'Sell, and I'm an architect at this.labs.
42720	48240	Today, we are excited to be talking to Trisha Cat, who is a self-taught developer and dev
48240	50320	rel engineer from South Africa.
50320	55240	Trisha is going to be talking to us about getting started in development and in developer relations
55240	56240	and developer advocacy.
56240	59880	We're going to be talking about CSS, and who knows, a whole bunch of other topics.
59880	62080	So Trisha, how are you doing today?
62080	63720	Hi, Rob.
63720	65560	Hello, everyone who's listening.
65560	71680	I am doing amazing, I'm doing well, enjoying the weather as always, and yeah, man, I hope
71680	74840	everyone will enjoy listening to this episode.
74840	79480	Now talk to people, because when we release this, it's still going to be sort of the
79480	85760	dead of winter in the United States, and a lot of people might be listening from, and
85760	90240	we just had Groundhog's Day as the time of recording this, who condemned us to six more
90240	91240	weeks of winter.
91240	95960	So can you tell everybody, they're imagining you're enjoying the weather, they're thinking
95960	101200	it's tropical and sunny, wherever you are, can you tell them what's actually happening?
101200	105920	What's actually happening is I have the lights on inside the house, because it's so
105920	106920	dark.
106920	112880	It's like, it's like, the clouds are dark, actually, and it's, it's looking like it's
112880	115240	going to be a violent rain.
115240	120120	So I'm looking forward to all the thunderstorms, the lightning, hopefully it strikes somewhere
120120	125320	okay, I'm joking, but yeah, man, I'm, I'm that kind of a person, I love rainy weather.
125320	130680	I think it's amazing, it brings water to relaxing, and so I'm looking forward to that.
130680	131680	Absolutely.
131680	135280	I'm, I'm, I was mentioning this just before we started that I'm the same way, I'm from
135280	141120	the Midwest, the United States, and I feel like that is our, our calming, healing energy
141120	146360	is just opening all the windows and listening to the rumble of thunder from off in the distance
146360	151800	as it slowly comes up and catches up to you, and you can kind of hear the water as it hits
151800	155200	like a lake or something, and you can hear it moving across the lake until it gets to
155200	156200	your house.
156200	160480	I mean, that is, that is just childhood in a, in a single image to me.
160480	167080	So hopefully you get a, a, an enjoyable storm where you are.
167080	168080	Thanks.
168080	169080	I hope I do too.
169080	170080	All right.
170080	171480	Well, let's jump right into it.
171480	175000	And you know, to get us started, I think people are going to be interested to hear about your
175000	176840	journey, at least just the beginnings of it.
176840	182560	So could you give us like a condensed version of kind of how you came to be in development,
182560	185760	because I think people would be interested to hear how that came to be.
186240	187400	Yes, of course.
187400	194440	So Rob mentioned that I am self-taught and I am based in South Africa, which is like
194440	200920	the hardest place to actually land your first job as a self-taught without any degree diploma.
200920	208560	And so my journey started when I dropped out of college in 2021.
208560	212720	And I decided to self-teach myself with pre-code camp.
