start	end	text
0	2500	I sure hope you're hungry!
2500	4200	Cool, I'm starving!
4200	8100	Wash those hands, pull up a chair, and secure that feedback.
8100	14200	Because it's time to listen to Scott Tolinsky and Wes Boss attempt to use human language to converse with
14200	16800	and pick the brains of other developers.
16800	18800	I thought there was gonna be food!
18800	21700	So buckle up and grab that old f***ing handle
21700	25000	because this ride is going to get wild!
26000	27300	This is...
27300	29700	The Syntax Supper Club!
30000	38500	Welcome to Syntax!
38500	41500	The podcast with the tastiest web development treats out there.
41500	44500	We've got another banger Supper Club for you today.
44500	46500	We have somebody who has...
46500	48500	I'm gonna admit it, a cooler name than I have.
48500	53000	Dax Rad is on today to talk about...
53000	56900	I think we're just gonna be talking mostly about serverless hosting Next.js.
56900	58900	He's behind a couple different projects.
58900	61400	SST as well as Open Next.js.
61400	63400	We're excited to talk all about that.
63400	64400	Welcome, Dax. How you doing?
64400	65900	I'm doing great. Thanks for having me on.
65900	67400	You're welcome. You're welcome.
67400	69400	We're sponsored today by Sentry.
69400	71400	Let's talk about their new APM.
71400	72400	What is APM?
72400	74400	Application, Performance, Monitor.
74400	76400	So what that will do is...
76400	81400	You're throwing your application and it's sort of trying to monitor things that will make your website slow.
81400	86400	We had a show a couple days ago about slow websites and what could possibly cause it.
86400	90400	So what Sentry will do is it will detect common things.
90400	95400	Large render blocking assets, slow database queries, file IO on the main thread.
95400	97400	That's probably not something you want to do.
97400	102400	You know, in Node, you have that right file sync, which is...
102400	104400	That will block up your main thread.
104400	110400	Anything else running on that main thread will not be able to go until you've actually finished writing that file.
110400	112400	So that could be a big, big no-no.
112400	114400	You're gonna want to check it out.
114400	116400	There's lots in this APM.
116400	120400	I'm sure I'll go into the features of it over the next couple of ad reads.
120400	122400	You want to check it out at Sentry.io.
122400	125400	Use a coupon code, tastytreat, for two months for free.
125400	132400	I also want to check out their blog post, which is the new APM actionable, affordable, and actually built for developers.
132400	134400	Thank you, Sentry, for sponsoring.
134400	140400	We'll start this by just saying 2023, I said, is my year for AWS.
140400	145400	So I've been looking at some of my server bills and whatnot.
145400	150400	And I say, man, this is real expensive to be able to do this stuff.
150400	155400	And then I look over at AWS and I go, that's too hard.
155400	160400	And I'm stuck in this position of something is very expensive and obviously easy,
160400	164400	versus something that is, I think, cheaper.
164400	165400	We'll see.
165400	168400	But it's just like, there's so many pieces to it.
168400	173400	So we're trying to, like this year, we're trying to get a little bit more into AWS and understand all the different parts and whatnot.
173400	178400	So you're the first person that we're having on to sort of talk about that type of stuff.
178400	182400	Let's talk about, you want to give like a quick rundown of who you are and what you do.
182400	187400	And then I thought we'll get into the open next year stuff first and then we'll get into the SST stuff.
187400	188400	Yeah, sounds good.
188400	190400	So again, my name is Dax.
190400	194400	I work entirely on open source to a pretty lucky situation that I'm in.
194400	198400	The primary project that I work on is called SST.
198400	207400	It's a framework that helps people like yourself start to build things on AWS without fully being exposed to the monstrosity that is AWS.
207400	211400	Because like you said, there's a lot of great reasons to be building on AWS,
211400	216400	especially for things that are a little bit more serious and as you start to get to a certain scale.
216400	220400	But it's pretty unapproachable for the average person.
220400	226400	So our job is to really go dig through all the AWS docs, read everything,
226400	232400	figure out all the little weird quirks and then expose something that makes a lot more sense for the end user,
232400	239400	figure out what kind of rough edges there are on their day to day development cycles and make all that smoother.
239400	244400	I'll start this with a question is, and I went down this rabbit hole the other day.
244400	250400	I put a tweet out where I logged into AWS and I looked at some of the profiles I had created.
250400	253400	And one of them was 12 years old.
253400	256400	And I tweeted like, has it gotten any better in about 12 years?
256400	259400	And half people are like, no, and half the people are yes.
259400	265400	So I was like, I just want to deploy a serverless function raw to AWS.
265400	269400	And I like got into it and like there's no build pipeline and there's all these products.
269400	275400	Why does AWS not have something like Netlify or Vercel?
275400	277400	Or like, why don't they have that?
277400	282400	And like, why is there all these businesses built up on top of AWS being easier?
282400	288400	The thing is AWS does think they have that and they have like three or four attempts at building something like Netlify
288400	291400	or Vercel or Heroku or whatever.
291400	292400	I think I forgot who it was.
292400	295400	Someone documented all different ways to deploy a container.
295400	300400	And there's like something create like 18 different ways that you can do it because they represent all these attempts at
300400	306400	AWS trying to create a higher level abstraction for to make some of these things simpler.
306400	308400	I just don't think it's in their DNA.
308400	311400	They are an infrastructure hyperscaler company.
311400	317400	They're about deploying like a crazy amount of physical hardware across the whole world, have it working.
317400	322400	That is really far removed to what a developer experiences day to day when they're trying to build something.
323400	325400	I think it's an awkward fit for them culturally.
325400	326400	Interesting.
326400	330400	Yeah, it does feel like that's been a long time thing forever.
330400	341400	I mean, even into Amazon.com itself, they've never had the polish, I think, in the UI department that many other companies have.
341400	345400	And that does seem to turn off people from AWS.
345400	351400	And like you mentioned, Wes, it opens up the door for all these other businesses that are built on top of AWS just to make it
351400	353400	easier on folks, right?
353400	361400	So do you think it's a positive thing that AWS hasn't figured this out because it enables all these other companies to exist?
361400	364400	Or do you think they'll get there eventually?
364400	370400	Yeah, I think for me, I always, I find myself in a tricky situation because I'll be trying to do something at AWS.
370400	373400	I'll be really frustrated and wish that it was better.
373400	377400	And I'll be annoyed with the teams behind certain services that are creating these problems.
377400	383400	And then I'll realize, oh, well, if they were actually doing all those things, I wouldn't really have a job.
383400	386400	So I definitely appreciate the gap that it creates.
386400	388400	I think it is a good system.
388400	391400	AWS's scope is just massive.
